Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),TOTAL CONSUMPTION (tons)
1,1988,14,Chhattisgarh,Durg,18661,55.37,11984,35.56,3056,9.07,33701
1,1999,14,Chhattisgarh,Durg,35428,62.08,15822,27.73,5816,10.19,57066
1,2000,14,Chhattisgarh,Durg,35349,59.45,18393,30.93,5722,9.62,59464
1,2001,14,Chhattisgarh,Durg,39695,64.02,17621,28.42,4692,7.57,62007
1,2002,14,Chhattisgarh,Durg,33215,59.23,16959,30.24,5909,10.54,56082
1,2003,14,Chhattisgarh,Durg,32666,61.75,14731,27.85,5504,10.4,52900
1,2004,14,Chhattisgarh,Durg,48957,60.42,23367,28.84,8698,10.74,81022
1,2005,14,Chhattisgarh,Durg,52889,60.61,23912,27.4,10466,11.99,87267
1,2006,14,Chhattisgarh,Durg,63979,59.71,30775,28.72,12392,11.57,107146
1,2007,14,Chhattisgarh,Durg,60332,60.73,27558,27.74,11458,11.53,99347
1,2008,14,Chhattisgarh,Durg,52406,50.46,33856,32.6,17602,16.95,103864
1,2009,14,Chhattisgarh,Durg,72854,55.13,41198,31.18,18091,13.69,132143
1,2010,14,Chhattisgarh,Durg,77428,54.47,45186,31.79,19542,13.75,142156
1,2011,14,Chhattisgarh,Durg,72843,53.56,45815,33.69,17339,12.75,135997
1,2012,14,Chhattisgarh,Durg,93725,58.43,50474,31.47,16214,10.11,160413
1,2013,14,Chhattisgarh,Durg,80745,58.05,42228,30.36,16125,11.59,139098
1,2014,14,Chhattisgarh,Durg,92459,56.7,54358,33.33,16254,9.97,163071
1,2015,14,Chhattisgarh,Durg,109099,57.14,62410,32.69,19424,10.17,190933
1,2016,14,Chhattisgarh,Durg,103328,54.12,66895,35.04,20714,10.85,190937
1,2017,14,Chhattisgarh,Durg,91447,56.47,53486,33.03,16993,10.49,161926
2,1988,14,Chhattisgarh,Bastar,2196,62.78,968,27.67,334,9.55,3498
2,1999,14,Chhattisgarh,Bastar,5861,54.33,3470,32.17,1457,13.51,10788
2,2000,14,Chhattisgarh,Bastar,7060,67.35,2551,24.34,871,8.31,10482
2,2001,14,Chhattisgarh,Bastar,8975,63.91,3729,26.55,1339,9.53,14043
2,2002,14,Chhattisgarh,Bastar,6298,58.98,3230,30.25,1151,10.78,10679
2,2003,14,Chhattisgarh,Bastar,6474,59.59,3114,28.66,1276,11.75,10864
2,2004,14,Chhattisgarh,Bastar,9315,59.18,4360,27.7,2064,13.11,15739
2,2005,14,Chhattisgarh,Bastar,10661,61.11,4827,27.67,1959,11.23,17447
2,2006,14,Chhattisgarh,Bastar,12218,58.53,6136,29.4,2520,12.07,20874
2,2007,14,Chhattisgarh,Bastar,9710,70.9,3270,23.88,715,5.22,13695
2,2008,14,Chhattisgarh,Bastar,11578,56.18,5451,26.45,3579,17.37,20608
2,2009,14,Chhattisgarh,Bastar,17440,58.67,9076,30.53,3212,10.8,29728
2,2010,14,Chhattisgarh,Bastar,16819,52.94,9675,30.45,5277,16.61,31771
2,2011,14,Chhattisgarh,Bastar,16701,54.65,10399,34.03,3459,11.32,30559
2,2012,14,Chhattisgarh,Bastar,22885,57.88,12120,30.65,4535,11.47,39540
2,2013,14,Chhattisgarh,Bastar,18748,58.15,9581,29.72,3912,12.13,32241
2,2014,14,Chhattisgarh,Bastar,21424,56.73,11737,31.08,4606,12.2,37767
2,2015,14,Chhattisgarh,Bastar,19698,51.49,13415,35.07,5141,13.44,38254
2,2016,14,Chhattisgarh,Bastar,22592,54.07,13794,33.01,5394,12.91,41783
2,2017,14,Chhattisgarh,Bastar,21279,55.8,12584,33,4271,11.2,38134
3,1988,14,Chhattisgarh,Raipur,28506,57.95,15154,30.81,5530,11.24,49190
3,1999,14,Chhattisgarh,Raipur,58420,62.47,26112,27.92,8988,9.61,93520
3,2000,14,Chhattisgarh,Raipur,47700,57.73,26145,31.64,8783,10.63,82628
3,2001,14,Chhattisgarh,Raipur,50959,62.07,23621,28.77,7522,9.16,82102
3,2002,14,Chhattisgarh,Raipur,48351,60.15,23686,29.46,8351,10.39,80388
3,2003,14,Chhattisgarh,Raipur,47900,61.22,22409,28.64,7939,10.15,78248
3,2004,14,Chhattisgarh,Raipur,68747,59.1,33795,29.05,13790,11.85,116332
3,2005,14,Chhattisgarh,Raipur,72879,53.8,47155,34.81,15430,11.39,135464
3,2006,14,Chhattisgarh,Raipur,101407,59.71,46657,27.47,21781,12.82,169845
3,2007,14,Chhattisgarh,Raipur,106660,55.53,55126,28.7,30274,15.76,192060
3,2008,14,Chhattisgarh,Raipur,106007,57.91,53556,29.26,23481,12.83,183044
3,2009,14,Chhattisgarh,Raipur,115245,57.89,59287,29.78,24550,12.33,199082
3,2010,14,Chhattisgarh,Raipur,127705,58.2,64093,29.21,27617,12.59,219415
3,2011,14,Chhattisgarh,Raipur,143926,60.44,66868,28.08,27341,11.48,238135
3,2012,14,Chhattisgarh,Raipur,140933,64.93,63782,29.39,12325,5.68,217040
3,2013,14,Chhattisgarh,Raipur,133516,62.71,62690,29.44,16718,7.85,212924
3,2014,14,Chhattisgarh,Raipur,131220,62.99,56975,27.35,20116,9.66,208311
3,2015,14,Chhattisgarh,Raipur,127207,65.03,51969,26.57,16422,8.4,195598
3,2016,14,Chhattisgarh,Raipur,118345,58.88,65193,32.43,17469,8.69,201005
3,2017,14,Chhattisgarh,Raipur,92008,59.44,47721,30.83,15054,9.73,154783
4,1988,14,Chhattisgarh,Bilaspur,25526,67.35,10583,27.92,1791,4.73,37900
4,1999,14,Chhattisgarh,Bilaspur,43567,72.5,13273,22.09,3254,5.42,60094
4,2000,14,Chhattisgarh,Bilaspur,36684,68.82,13876,26.03,2742,5.14,53302
4,2001,14,Chhattisgarh,Bilaspur,47381,70.5,16418,24.43,3412,5.08,67212
4,2002,14,Chhattisgarh,Bilaspur,44865,69.07,16255,25.02,3837,5.91,64958
4,2003,14,Chhattisgarh,Bilaspur,48851,75.55,11726,18.14,4082,6.31,64660
4,2004,14,Chhattisgarh,Bilaspur,61764,69.76,20201,22.82,6572,7.42,88537
4,2005,14,Chhattisgarh,Bilaspur,55417,73.55,14434,19.16,5494,7.29,75345
4,2006,14,Chhattisgarh,Bilaspur,60336,71.07,17875,21.06,6684,7.87,84895
4,2007,14,Chhattisgarh,Bilaspur,56764,74.04,14927,19.47,4979,6.49,76670
4,2008,14,Chhattisgarh,Bilaspur,51999,65.42,20056,25.23,7429,9.35,79484
4,2009,14,Chhattisgarh,Bilaspur,59188,64.33,25473,27.69,7339,7.98,92000
4,2010,14,Chhattisgarh,Bilaspur,60950,62.13,28184,28.73,8970,9.14,98104
4,2011,14,Chhattisgarh,Bilaspur,79347,67.09,29934,25.31,8989,7.6,118270
4,2012,14,Chhattisgarh,Bilaspur,76076,68.78,28892,26.12,5641,5.1,110609
4,2013,14,Chhattisgarh,Bilaspur,74396,70.4,25750,24.37,5532,5.24,105678
4,2014,14,Chhattisgarh,Bilaspur,77950,68.95,28868,25.54,6234,5.51,113052
4,2015,14,Chhattisgarh,Bilaspur,75540,65.29,32253,27.88,7910,6.84,115703
4,2016,14,Chhattisgarh,Bilaspur,83154,64.18,37732,29.12,8671,6.69,129557
4,2017,14,Chhattisgarh,Bilaspur,72926,66.57,29713,27.12,6915,6.31,109554
5,1988,14,Chhattisgarh,Raigarh,9634,64.72,4314,28.98,937,6.29,14885
5,1999,14,Chhattisgarh,Raigarh,14690,61.6,7203,30.2,1956,8.2,23849
5,2000,14,Chhattisgarh,Raigarh,12035,55.37,7873,36.22,1826,8.4,21734
5,2001,14,Chhattisgarh,Raigarh,15844,64.36,7407,30.09,1365,5.55,24616
5,2002,14,Chhattisgarh,Raigarh,15304,68.68,5787,25.97,1193,5.35,22284
5,2003,14,Chhattisgarh,Raigarh,16907,67.53,6888,27.51,1241,4.96,25036
5,2004,14,Chhattisgarh,Raigarh,21776,69.33,7486,23.83,2148,6.84,31410
5,2005,14,Chhattisgarh,Raigarh,23120,65.32,9291,26.25,2982,8.43,35393
5,2006,14,Chhattisgarh,Raigarh,21975,65.25,8460,25.12,3245,9.63,33680
5,2007,14,Chhattisgarh,Raigarh,23067,65.5,9135,25.94,3014,8.56,35216
5,2008,14,Chhattisgarh,Raigarh,28705,63.76,11004,24.44,5309,11.79,45018
5,2009,14,Chhattisgarh,Raigarh,30471,62.66,13966,28.72,4195,8.63,48632
5,2010,14,Chhattisgarh,Raigarh,24194,56.79,13785,32.36,4622,10.85,42601
5,2011,14,Chhattisgarh,Raigarh,30099,64.95,14000,30.21,2241,4.84,46340
5,2012,14,Chhattisgarh,Raigarh,25807,66.99,10948,28.42,1767,4.59,38522
5,2013,14,Chhattisgarh,Raigarh,25812,65.37,11328,28.69,2344,5.94,39484
5,2014,14,Chhattisgarh,Raigarh,27928,63.92,11565,26.47,4197,9.61,43690
5,2015,14,Chhattisgarh,Raigarh,31033,63.22,14398,29.33,3660,7.46,49091
5,2016,14,Chhattisgarh,Raigarh,26660,53.27,17716,35.4,5672,11.33,50048
5,2017,14,Chhattisgarh,Raigarh,31282,64.35,13620,28.02,3707,7.63,48609
6,1988,14,Chhattisgarh,Surguja,3040,41.58,3683,50.37,589,8.06,7312
6,1999,14,Chhattisgarh,Surguja,6699,55.19,4529,37.31,910,7.5,12138
6,2000,14,Chhattisgarh,Surguja,9047,56.05,5888,36.48,1205,7.47,16140
6,2001,14,Chhattisgarh,Surguja,10833,63.47,5078,29.75,1157,6.78,17068
6,2002,14,Chhattisgarh,Surguja,9829,61.66,4905,30.77,1207,7.57,15941
6,2003,14,Chhattisgarh,Surguja,10555,66.98,4270,27.1,933,5.92,15758
6,2004,14,Chhattisgarh,Surguja,19804,67.75,7658,26.2,1767,6.05,29229
6,2005,14,Chhattisgarh,Surguja,17120,73.16,4783,20.44,1499,6.41,23402
6,2006,14,Chhattisgarh,Surguja,12305,62.17,6099,30.82,1387,7.01,19791
6,2007,14,Chhattisgarh,Surguja,15725,63.19,6950,27.93,2210,8.88,24885
6,2008,14,Chhattisgarh,Surguja,16910,54.91,10337,33.56,3551,11.53,30798
6,2009,14,Chhattisgarh,Surguja,20624,58.01,13320,37.47,1606,4.52,35550
6,2010,14,Chhattisgarh,Surguja,14897,52.98,10262,36.49,2961,10.53,28120
6,2011,14,Chhattisgarh,Surguja,13484,51.32,10318,39.27,2471,9.41,26273
6,2012,14,Chhattisgarh,Surguja,22160,62.71,11396,32.25,1782,5.04,35338
6,2013,14,Chhattisgarh,Surguja,25632,64.36,11078,27.82,3114,7.82,39824
6,2014,14,Chhattisgarh,Surguja,22005,56.15,11871,30.29,5317,13.57,39193
6,2015,14,Chhattisgarh,Surguja,28205,58.69,15297,31.83,4556,9.48,48058
6,2016,14,Chhattisgarh,Surguja,34865,58.09,19660,32.75,5498,9.16,60023
6,2017,14,Chhattisgarh,Surguja,21139,56.44,11878,31.71,4438,11.85,37455
7,1988,6,Madhya Pradesh,Jabalpur,9248,52.28,7949,44.94,491,2.78,17688
7,1999,6,Madhya Pradesh,Jabalpur,14465,57.82,9812,39.22,740,2.96,25017
7,2000,6,Madhya Pradesh,Jabalpur,14636,66.04,7037,31.75,488,2.2,22161
7,2001,6,Madhya Pradesh,Jabalpur,16251,63.55,8304,32.47,1018,3.98,25573
7,2002,6,Madhya Pradesh,Jabalpur,17417,58.37,11514,38.59,907,3.04,29838
7,2003,6,Madhya Pradesh,Jabalpur,20217,56.32,13901,38.72,1781,4.96,35899
7,2004,6,Madhya Pradesh,Jabalpur,23274,60.47,13871,36.04,1342,3.49,38487
7,2005,6,Madhya Pradesh,Jabalpur,20639,61.21,12035,35.7,1042,3.09,33716
7,2006,6,Madhya Pradesh,Jabalpur,28205,61.44,16181,35.25,1521,3.31,45907
7,2007,6,Madhya Pradesh,Jabalpur,28086,60.05,16387,35.04,2298,4.91,46771
7,2008,6,Madhya Pradesh,Jabalpur,35173,59.06,19890,33.4,4493,7.54,59556
7,2009,6,Madhya Pradesh,Jabalpur,38809,57.37,24312,35.94,4531,6.7,67652
7,2010,6,Madhya Pradesh,Jabalpur,45176,58.39,27778,35.9,4417,5.71,77371
7,2011,6,Madhya Pradesh,Jabalpur,42455,60.08,25909,36.67,2300,3.25,70664
7,2012,6,Madhya Pradesh,Jabalpur,50877,62.76,27139,33.48,3046,3.76,81062
7,2013,6,Madhya Pradesh,Jabalpur,57705,71.22,22933,28.3,389,0.48,81027
7,2014,6,Madhya Pradesh,Jabalpur,48381,68.7,21016,29.84,1023,1.45,70420
7,2015,6,Madhya Pradesh,Jabalpur,57804,70.2,23267,28.26,1271,1.54,82342
7,2016,6,Madhya Pradesh,Jabalpur,68841,70.44,27122,27.75,1759,1.8,97724
7,2017,6,Madhya Pradesh,Jabalpur,62230,65.4,30800,32.37,2116,2.22,95146
8,1988,6,Madhya Pradesh,Balaghat,5233,61.68,2880,33.95,371,4.37,8484
8,1999,6,Madhya Pradesh,Balaghat,7408,65.84,3390,30.13,454,4.03,11252
8,2000,6,Madhya Pradesh,Balaghat,7321,57.52,4665,36.65,741,5.82,12727
8,2001,6,Madhya Pradesh,Balaghat,3752,41.86,4686,52.28,525,5.86,8963
8,2002,6,Madhya Pradesh,Balaghat,7405,59.19,4569,36.52,536,4.28,12510
8,2003,6,Madhya Pradesh,Balaghat,9711,60.16,5792,35.88,638,3.95,16141
8,2004,6,Madhya Pradesh,Balaghat,8322,59.53,5008,35.83,649,4.64,13979
8,2005,6,Madhya Pradesh,Balaghat,10486,58.58,6693,37.39,722,4.03,17901
8,2006,6,Madhya Pradesh,Balaghat,10663,59.28,6582,36.59,744,4.14,17989
8,2007,6,Madhya Pradesh,Balaghat,12549,60.28,7523,36.14,745,3.58,20817
8,2008,6,Madhya Pradesh,Balaghat,13686,59.66,8278,36.09,976,4.25,22940
8,2009,6,Madhya Pradesh,Balaghat,14461,58.6,9454,38.31,764,3.1,24679
8,2010,6,Madhya Pradesh,Balaghat,14843,56.79,9676,37.02,1618,6.19,26137
8,2011,6,Madhya Pradesh,Balaghat,17625,57.86,11995,39.38,840,2.76,30460
8,2012,6,Madhya Pradesh,Balaghat,16377,64.82,8403,33.26,484,1.92,25264
8,2013,6,Madhya Pradesh,Balaghat,15732,54.05,12464,42.82,913,3.14,29109
8,2014,6,Madhya Pradesh,Balaghat,15649,59.34,10125,38.4,596,2.26,26370
8,2015,6,Madhya Pradesh,Balaghat,19477,58.57,12859,38.67,916,2.75,33252
8,2016,6,Madhya Pradesh,Balaghat,15234,61.02,9370,37.53,361,1.45,24965
8,2017,6,Madhya Pradesh,Balaghat,18299,61.9,10688,36.15,575,1.94,29563
9,1988,6,Madhya Pradesh,Chhindwara,6796,59.61,3642,31.94,963,8.45,11401
9,1999,6,Madhya Pradesh,Chhindwara,12535,66.47,4851,25.72,1473,7.81,18859
9,2000,6,Madhya Pradesh,Chhindwara,11205,63.64,4946,28.09,1455,8.26,17606
9,2001,6,Madhya Pradesh,Chhindwara,11670,63.3,5139,27.87,1628,8.83,18437
9,2002,6,Madhya Pradesh,Chhindwara,13200,63.27,6004,28.78,1658,7.95,20862
9,2003,6,Madhya Pradesh,Chhindwara,15175,62.74,7008,28.98,2003,8.28,24186
9,2004,6,Madhya Pradesh,Chhindwara,13341,60.55,7101,32.23,1591,7.22,22033
9,2005,6,Madhya Pradesh,Chhindwara,16989,65.2,6869,26.36,2197,8.43,26055
9,2006,6,Madhya Pradesh,Chhindwara,20197,66.61,7880,25.99,2242,7.39,30319
9,2007,6,Madhya Pradesh,Chhindwara,22965,71.79,6989,21.85,2037,6.37,31991
9,2008,6,Madhya Pradesh,Chhindwara,20287,67.62,6944,23.15,2771,9.24,30002
9,2009,6,Madhya Pradesh,Chhindwara,30188,67.89,10449,23.5,3829,8.61,44466
9,2010,6,Madhya Pradesh,Chhindwara,30157,62.57,12744,26.44,5297,10.99,48198
9,2011,6,Madhya Pradesh,Chhindwara,32436,64.4,13461,26.72,4472,8.88,50369
9,2012,6,Madhya Pradesh,Chhindwara,35016,66.86,14165,27.05,3192,6.09,52373
9,2013,6,Madhya Pradesh,Chhindwara,41304,72.75,13320,23.46,2149,3.79,56773
9,2014,6,Madhya Pradesh,Chhindwara,38309,66.59,15624,27.16,3598,6.25,57531
9,2015,6,Madhya Pradesh,Chhindwara,47316,68.37,17967,25.96,3922,5.67,69205
9,2016,6,Madhya Pradesh,Chhindwara,60800,71.2,19046,22.3,5550,6.5,85396
9,2017,6,Madhya Pradesh,Chhindwara,57518,68.36,20108,23.9,6518,7.75,84144
10,1988,6,Madhya Pradesh,Narsinghpur,4288,51.68,3712,44.73,298,3.59,8298
10,1999,6,Madhya Pradesh,Narsinghpur,7475,54.54,5426,39.59,805,5.87,13706
10,2000,6,Madhya Pradesh,Narsinghpur,7486,53.49,5712,40.82,796,5.69,13994
10,2001,6,Madhya Pradesh,Narsinghpur,7913,53.15,6057,40.69,917,6.16,14887
10,2002,6,Madhya Pradesh,Narsinghpur,8068,54.44,5879,39.67,873,5.89,14820
10,2003,6,Madhya Pradesh,Narsinghpur,7723,57.99,4556,34.21,1039,7.8,13318
10,2004,6,Madhya Pradesh,Narsinghpur,8930,58.78,4971,32.72,1290,8.49,15191
10,2005,6,Madhya Pradesh,Narsinghpur,9841,61.39,4647,28.99,1543,9.63,16031
10,2006,6,Madhya Pradesh,Narsinghpur,13901,67.18,5097,24.63,1694,8.19,20692
10,2007,6,Madhya Pradesh,Narsinghpur,10666,65.13,4863,29.69,848,5.18,16377
10,2008,6,Madhya Pradesh,Narsinghpur,11719,56.73,7238,35.04,1699,8.23,20656
10,2009,6,Madhya Pradesh,Narsinghpur,13128,56.88,7769,33.66,2185,9.47,23082
10,2010,6,Madhya Pradesh,Narsinghpur,13520,53.57,9587,37.98,2133,8.45,25240
10,2011,6,Madhya Pradesh,Narsinghpur,17420,60.27,10012,34.64,1470,5.09,28902
10,2012,6,Madhya Pradesh,Narsinghpur,19500,59.95,12182,37.45,846,2.6,32528
10,2013,6,Madhya Pradesh,Narsinghpur,15197,64.18,7618,32.17,864,3.65,23679
10,2014,6,Madhya Pradesh,Narsinghpur,19002,67.51,8081,28.71,1062,3.77,28145
10,2015,6,Madhya Pradesh,Narsinghpur,24755,68.1,10019,27.56,1579,4.34,36353
10,2016,6,Madhya Pradesh,Narsinghpur,19117,62.68,9391,30.79,1992,6.53,30501
10,2017,6,Madhya Pradesh,Narsinghpur,21631,63.44,10429,30.59,2037,5.97,34097
11,1988,6,Madhya Pradesh,Seoni / Shivani,1595,54.62,1220,41.78,105,3.6,2920
11,1999,6,Madhya Pradesh,Seoni / Shivani,4161,62.44,2237,33.57,266,3.99,6664
11,2000,6,Madhya Pradesh,Seoni / Shivani,3883,59.75,2337,35.96,279,4.29,6499
11,2001,6,Madhya Pradesh,Seoni / Shivani,4397,64.69,2202,32.4,198,2.91,6797
11,2002,6,Madhya Pradesh,Seoni / Shivani,5306,62.45,2877,33.86,314,3.7,8497
11,2003,6,Madhya Pradesh,Seoni / Shivani,5758,62.76,3131,34.13,285,3.11,9174
11,2004,6,Madhya Pradesh,Seoni / Shivani,5354,57.58,3605,38.77,339,3.65,9298
11,2005,6,Madhya Pradesh,Seoni / Shivani,6774,61.49,3821,34.69,421,3.82,11016
11,2006,6,Madhya Pradesh,Seoni / Shivani,7324,59.98,4468,36.59,418,3.42,12210
11,2007,6,Madhya Pradesh,Seoni / Shivani,9964,63.22,5432,34.46,366,2.32,15762
11,2008,6,Madhya Pradesh,Seoni / Shivani,9005,57.93,5966,38.38,574,3.69,15545
11,2009,6,Madhya Pradesh,Seoni / Shivani,12456,60.34,7498,36.32,689,3.34,20643
11,2010,6,Madhya Pradesh,Seoni / Shivani,13731,58.04,8691,36.74,1236,5.22,23658
11,2011,6,Madhya Pradesh,Seoni / Shivani,15730,62.07,8665,34.19,949,3.74,25344
11,2012,6,Madhya Pradesh,Seoni / Shivani,18777,62.49,10162,33.82,1107,3.68,30046
11,2013,6,Madhya Pradesh,Seoni / Shivani,21318,70.72,8514,28.24,313,1.04,30145
11,2014,6,Madhya Pradesh,Seoni / Shivani,23150,68.92,9939,29.59,501,1.49,33590
11,2015,6,Madhya Pradesh,Seoni / Shivani,28360,70.03,11535,28.48,602,1.49,40497
11,2016,6,Madhya Pradesh,Seoni / Shivani,35158,74.76,10790,22.94,1080,2.3,47029
11,2017,6,Madhya Pradesh,Seoni / Shivani,48504,76.28,13250,20.84,1833,2.88,63587
12,1988,6,Madhya Pradesh,Mandla,1526,85.01,255,14.21,14,0.78,1795
12,1999,6,Madhya Pradesh,Mandla,2746,76.15,788,21.85,72,2,3606
12,2000,6,Madhya Pradesh,Mandla,3081,77.51,842,21.18,52,1.31,3975
12,2001,6,Madhya Pradesh,Mandla,3562,77.32,902,19.58,143,3.1,4607
12,2002,6,Madhya Pradesh,Mandla,3410,75.34,975,21.54,141,3.12,4526
12,2003,6,Madhya Pradesh,Mandla,3981,72.36,1343,24.41,178,3.24,5502
12,2004,6,Madhya Pradesh,Mandla,3994,71.05,1492,26.54,135,2.4,5621
12,2005,6,Madhya Pradesh,Mandla,4218,81.16,911,17.53,68,1.31,5197
12,2006,6,Madhya Pradesh,Mandla,4775,79.96,1118,18.72,79,1.32,5972
12,2007,6,Madhya Pradesh,Mandla,5453,77.59,1519,21.61,56,0.8,7028
12,2008,6,Madhya Pradesh,Mandla,6659,78.3,1734,20.39,111,1.31,8504
12,2009,6,Madhya Pradesh,Mandla,6574,72.68,2342,25.89,129,1.43,9045
12,2010,6,Madhya Pradesh,Mandla,7878,73.66,2632,24.61,185,1.73,10695
12,2011,6,Madhya Pradesh,Mandla,7881,69.69,3260,28.83,167,1.48,11308
12,2012,6,Madhya Pradesh,Mandla,8317,74.88,2653,23.89,137,1.23,11107
12,2013,6,Madhya Pradesh,Mandla,9255,73.27,3263,25.83,114,0.9,12632
12,2014,6,Madhya Pradesh,Mandla,11043,66.87,5309,32.15,163,0.99,16515
12,2015,6,Madhya Pradesh,Mandla,11545,73.99,3925,25.16,133,0.85,15603
12,2016,6,Madhya Pradesh,Mandla,11640,71,4586,27.97,169,1.03,16395
12,2017,6,Madhya Pradesh,Mandla,11207,72.23,4172,26.89,136,0.88,15516
13,1988,6,Madhya Pradesh,Sagar,6358,43.69,7650,52.57,545,3.74,14553
13,1999,6,Madhya Pradesh,Sagar,9388,37.88,14205,57.32,1191,4.81,24784
13,2000,6,Madhya Pradesh,Sagar,8145,38.72,12135,57.7,753,3.58,21033
13,2001,6,Madhya Pradesh,Sagar,8251,39.9,11901,57.55,528,2.55,20680
13,2002,6,Madhya Pradesh,Sagar,7167,39.47,10289,56.66,702,3.87,18158
13,2003,6,Madhya Pradesh,Sagar,8531,44.46,9776,50.95,879,4.58,19186
13,2004,6,Madhya Pradesh,Sagar,10374,45.47,11471,50.28,968,4.24,22813
13,2005,6,Madhya Pradesh,Sagar,7952,46.79,7616,44.82,1426,8.39,16994
13,2006,6,Madhya Pradesh,Sagar,11414,50.18,10931,48.06,399,1.75,22744
13,2007,6,Madhya Pradesh,Sagar,10482,48.47,10786,49.87,359,1.66,21627
13,2008,6,Madhya Pradesh,Sagar,13408,47.11,13787,48.44,1269,4.46,28464
13,2009,6,Madhya Pradesh,Sagar,14692,49.8,13937,47.24,875,2.97,29504
13,2010,6,Madhya Pradesh,Sagar,14824,42.52,18123,51.98,1919,5.5,34866
13,2011,6,Madhya Pradesh,Sagar,15258,46.29,16619,50.42,1086,3.29,32963
13,2012,6,Madhya Pradesh,Sagar,16692,44.51,20275,54.06,537,1.43,37504
13,2013,6,Madhya Pradesh,Sagar,17502,51.89,16032,47.53,197,0.58,33731
13,2014,6,Madhya Pradesh,Sagar,16268,55.23,12896,43.78,291,0.99,29455
13,2015,6,Madhya Pradesh,Sagar,18385,51.14,16735,46.55,833,2.32,35953
13,2016,6,Madhya Pradesh,Sagar,18612,53.34,15624,44.78,658,1.89,34893
13,2017,6,Madhya Pradesh,Sagar,20399,53.1,17510,45.58,506,1.32,38415
14,1988,6,Madhya Pradesh,Damoh,1580,48.04,1631,49.59,78,2.37,3289
14,1999,6,Madhya Pradesh,Damoh,4049,50.54,3687,46.02,275,3.43,8011
14,2000,6,Madhya Pradesh,Damoh,3487,48.64,3528,49.21,154,2.15,7169
14,2001,6,Madhya Pradesh,Damoh,4305,52.11,3835,46.42,122,1.48,8262
14,2002,6,Madhya Pradesh,Damoh,4573,48.29,4704,49.67,193,2.04,9470
14,2003,6,Madhya Pradesh,Damoh,4916,51.77,4444,46.8,136,1.43,9496
14,2004,6,Madhya Pradesh,Damoh,5298,49.75,5041,47.33,311,2.92,10650
14,2005,6,Madhya Pradesh,Damoh,4088,53.68,3148,41.34,379,4.98,7615
14,2006,6,Madhya Pradesh,Damoh,5593,51.61,5098,47.04,147,1.36,10838
14,2007,6,Madhya Pradesh,Damoh,5184,53.12,4344,44.51,231,2.37,9759
14,2008,6,Madhya Pradesh,Damoh,6956,48.76,6936,48.62,373,2.61,14265
14,2009,6,Madhya Pradesh,Damoh,7441,50.82,6943,47.42,257,1.76,14641
14,2010,6,Madhya Pradesh,Damoh,8482,50.41,7830,46.53,515,3.06,16827
14,2011,6,Madhya Pradesh,Damoh,9462,53.62,7851,44.49,335,1.9,17648
14,2012,6,Madhya Pradesh,Damoh,11776,49.86,11662,49.37,182,0.77,23620
14,2013,6,Madhya Pradesh,Damoh,9242,56.73,7013,43.05,35,0.21,16290
14,2014,6,Madhya Pradesh,Damoh,10116,63.88,5627,35.54,92,0.58,15835
14,2015,6,Madhya Pradesh,Damoh,11349,60.79,7231,38.73,88,0.47,18668
14,2016,6,Madhya Pradesh,Damoh,9374,55.14,7557,44.45,70,0.41,17001
14,2017,6,Madhya Pradesh,Damoh,10634,52.43,9534,47,115,0.57,20283
15,1988,6,Madhya Pradesh,Tikamgarh,10161,60.04,6408,37.87,354,2.09,16923
15,1999,6,Madhya Pradesh,Tikamgarh,10052,44.87,11804,52.69,545,2.43,22401
15,2000,6,Madhya Pradesh,Tikamgarh,8824,42.48,11319,54.5,627,3.02,20770
15,2001,6,Madhya Pradesh,Tikamgarh,8135,47.75,8606,50.51,297,1.74,17038
15,2002,6,Madhya Pradesh,Tikamgarh,6849,44.15,8397,54.13,267,1.72,15513
15,2003,6,Madhya Pradesh,Tikamgarh,11451,54.38,9096,43.19,511,2.43,21058
15,2004,6,Madhya Pradesh,Tikamgarh,9131,56.21,6733,41.45,379,2.33,16243
15,2005,6,Madhya Pradesh,Tikamgarh,7418,60.98,4227,34.75,519,4.27,12164
15,2006,6,Madhya Pradesh,Tikamgarh,6619,56.62,4971,42.52,101,0.86,11691
15,2007,6,Madhya Pradesh,Tikamgarh,3574,52.06,3242,47.23,49,0.71,6865
15,2008,6,Madhya Pradesh,Tikamgarh,16122,54,13525,45.3,210,0.7,29857
15,2009,6,Madhya Pradesh,Tikamgarh,11572,57.08,8584,42.34,119,0.59,20275
15,2010,6,Madhya Pradesh,Tikamgarh,10738,52.44,9441,46.1,299,1.46,20478
15,2011,6,Madhya Pradesh,Tikamgarh,12753,64.79,6842,34.76,88,0.45,19683
15,2012,6,Madhya Pradesh,Tikamgarh,12358,49.52,12583,50.42,17,0.07,24958
15,2013,6,Madhya Pradesh,Tikamgarh,12106,55.54,9673,44.38,16,0.07,21795
15,2014,6,Madhya Pradesh,Tikamgarh,11652,65.17,6022,33.68,206,1.15,17880
15,2015,6,Madhya Pradesh,Tikamgarh,9184,66.16,4690,33.78,8,0.06,13882
15,2016,6,Madhya Pradesh,Tikamgarh,12868,68.97,5527,29.62,261,1.4,18657
